date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-01-15,GOOGL260116C00010000,2026-01-16,call,10.0,2026-01-15T05:00:00Z,322.5,322.5,322.5,322.5,10,1,322.5
2026-01-15,GOOGL260116C00050000,2026-01-16,call,50.0,2026-01-15T05:00:00Z,282.04,282.04,281.91,281.91,2,2,281.975
2026-01-15,GOOGL260116C00070000,2026-01-16,call,70.0,2026-01-15T05:00:00Z,262.04,262.04,262.04,262.04,1,1,262.04
2026-01-15,GOOGL260116C00075000,2026-01-16,call,75.0,2026-01-15T05:00:00Z,255.8,257.04,255.8,257.04,52,3,255.836154
2026-01-15,GOOGL260116C00080000,2026-01-16,call,80.0,2026-01-15T05:00:00Z,252.08,252.08,251.95,251.95,3,3,252.01
2026-01-15,GOOGL260116C00090000,2026-01-16,call,90.0,2026-01-15T05:00:00Z,243.03,243.03,242.05,242.05,3,2,242.703333
2026-01-15,GOOGL260116C00100000,2026-01-16,call,100.0,2026-01-15T05:00:00Z,233.09,233.09,231.27,232.34,23,4,232.358696
2026-01-15,GOOGL260116C00105000,2026-01-16,call,105.0,2026-01-15T05:00:00Z,227.52,227.52,226.92,226.92,4,4,227.11
2026-01-15,GOOGL260116C00110000,2026-01-16,call,110.0,2026-01-15T05:00:00Z,222.09,222.92,222.09,222.92,3,2,222.643333
2026-01-15,GOOGL260116C00120000,2026-01-16,call,120.0,2026-01-15T05:00:00Z,213.58,213.58,211.88,212.06,36,19,212.944722
2026-01-15,GOOGL260116C00125000,2026-01-16,call,125.0,2026-01-15T05:00:00Z,211,211,207,207,9,3,210.133333
2026-01-15,GOOGL260116C00130000,2026-01-16,call,130.0,2026-01-15T05:00:00Z,202.02,202.55,202.02,202.55,2,2,202.285
2026-01-15,GOOGL260116C00135000,2026-01-16,call,135.0,2026-01-15T05:00:00Z,198,198,196.96,197.35,38,3,197.681842
2026-01-15,GOOGL260116C00140000,2026-01-16,call,140.0,2026-01-15T05:00:00Z,197.45,197.45,191.88,191.88,6,6,193.556667
2026-01-15,GOOGL260116C00145000,2026-01-16,call,145.0,2026-01-15T05:00:00Z,187,187.8,186.91,187.8,7,3,187.558571
2026-01-15,GOOGL260116C00150000,2026-01-16,call,150.0,2026-01-15T05:00:00Z,185,185,181.95,183,52,15,182.694231
2026-01-15,GOOGL260116C00155000,2026-01-16,call,155.0,2026-01-15T05:00:00Z,179.47,179.47,177.26,177.68,12,7,178.3775
2026-01-15,GOOGL260116C00160000,2026-01-16,call,160.0,2026-01-15T05:00:00Z,172,173.5,171.09,171.09,8,5,172.58
2026-01-15,GOOGL260116C00165000,2026-01-16,call,165.0,2026-01-15T05:00:00Z,170.2,170.2,166.5,166.91,34,12,167.811176
2026-01-15,GOOGL260116C00170000,2026-01-16,call,170.0,2026-01-15T05:00:00Z,163.67,164.47,161.38,162.28,37,11,162.482973
2026-01-15,GOOGL260116C00175000,2026-01-16,call,175.0,2026-01-15T05:00:00Z,160,160,156.98,156.98,4,4,158
2026-01-15,GOOGL260116C00180000,2026-01-16,call,180.0,2026-01-15T05:00:00Z,154,154.44,151.62,152.44,53,33,152.755849
2026-01-15,GOOGL260116C00185000,2026-01-16,call,185.0,2026-01-15T05:00:00Z,149.03,149.03,146.5,147.04,37,20,147.323243
2026-01-15,GOOGL260116C00190000,2026-01-16,call,190.0,2026-01-15T05:00:00Z,145.64,145.64,142,142.35,52,19,142.849615
2026-01-15,GOOGL260116C00195000,2026-01-16,call,195.0,2026-01-15T05:00:00Z,139.65,139.65,136.95,137.31,22,17,137.651364
2026-01-15,GOOGL260116C00200000,2026-01-16,call,200.0,2026-01-15T05:00:00Z,137.65,137.65,131.26,133,63,25,134.204286
2026-01-15,GOOGL260116C00205000,2026-01-16,call,205.0,2026-01-15T05:00:00Z,127.65,129.6,126.99,126.99,89,12,128.140337
2026-01-15,GOOGL260116C00210000,2026-01-16,call,210.0,2026-01-15T05:00:00Z,124.94,125.25,121.9,122.94,254,33,123.177362
2026-01-15,GOOGL260116C00215000,2026-01-16,call,215.0,2026-01-15T05:00:00Z,117.33,117.38,117.02,117.02,9,4,117.29
2026-01-15,GOOGL260116C00220000,2026-01-16,call,220.0,2026-01-15T05:00:00Z,115.3,115.92,111.1,112.78,33,21,113.17697
2026-01-15,GOOGL260116C00225000,2026-01-16,call,225.0,2026-01-15T05:00:00Z,110.43,110.43,107,107.58,71,26,107.862958
2026-01-15,GOOGL260116C00230000,2026-01-16,call,230.0,2026-01-15T05:00:00Z,103.85,107.05,102.09,102.65,16,15,103.13
2026-01-15,GOOGL260116C00235000,2026-01-16,call,235.0,2026-01-15T05:00:00Z,100.4,100.4,97.23,97.6,10,9,98.089
2026-01-15,GOOGL260116C00240000,2026-01-16,call,240.0,2026-01-15T05:00:00Z,97.4,97.4,91.35,92.22,57,13,92.658772
2026-01-15,GOOGL260116C00245000,2026-01-16,call,245.0,2026-01-15T05:00:00Z,89.33,89.33,87.3,87.3,116,16,87.557328
2026-01-15,GOOGL260116C00250000,2026-01-16,call,250.0,2026-01-15T05:00:00Z,86.48,86.48,81.45,83.1,126,27,82.291984
2026-01-15,GOOGL260116C00255000,2026-01-16,call,255.0,2026-01-15T05:00:00Z,78.51,78.51,76.48,76.48,21,9,77.31619
2026-01-15,GOOGL260116C00260000,2026-01-16,call,260.0,2026-01-15T05:00:00Z,74,76.1,71,72.4,20318,1531,72.618073
2026-01-15,GOOGL260116C00265000,2026-01-16,call,265.0,2026-01-15T05:00:00Z,69.92,69.92,66.21,66.5,142,14,67.929507
2026-01-15,GOOGL260116C00270000,2026-01-16,call,270.0,2026-01-15T05:00:00Z,70.22,70.22,61.4,62.3,175,19,63.5284
2026-01-15,GOOGL260116C00275000,2026-01-16,call,275.0,2026-01-15T05:00:00Z,57.15,59.05,57.15,58.21,52,15,58.145192
2026-01-15,GOOGL260116C00280000,2026-01-16,call,280.0,2026-01-15T05:00:00Z,55.86,56.16,51.55,52.16,280,40,53.342821
2026-01-15,GOOGL260116C00282500,2026-01-16,call,282.5,2026-01-15T05:00:00Z,50.7,50.7,50.7,50.7,10,1,50.7
2026-01-15,GOOGL260116C00285000,2026-01-16,call,285.0,2026-01-15T05:00:00Z,49.82,49.82,46,46,42,13,48.745476
2026-01-15,GOOGL260116C00287500,2026-01-16,call,287.5,2026-01-15T05:00:00Z,44.86,44.86,44.86,44.86,1,1,44.86
2026-01-15,GOOGL260116C00290000,2026-01-16,call,290.0,2026-01-15T05:00:00Z,45.3,46.2,41.5,41.75,104,38,42.740385
2026-01-15,GOOGL260116C00292500,2026-01-16,call,292.5,2026-01-15T05:00:00Z,39.38,39.97,39.38,39.97,8,8,39.4875
2026-01-15,GOOGL260116C00295000,2026-01-16,call,295.0,2026-01-15T05:00:00Z,38.47,38.47,36,37,87,22,36.976667
2026-01-15,GOOGL260116C00297500,2026-01-16,call,297.5,2026-01-15T05:00:00Z,35.01,35.19,35.01,35.19,2,2,35.1
2026-01-15,GOOGL260116C00300000,2026-01-16,call,300.0,2026-01-15T05:00:00Z,35.75,36.09,31,32.53,878,149,32.817938
2026-01-15,GOOGL260116C00302500,2026-01-16,call,302.5,2026-01-15T05:00:00Z,30.56,30.56,29.95,29.95,13,4,30.328462
2026-01-15,GOOGL260116C00305000,2026-01-16,call,305.0,2026-01-15T05:00:00Z,29,29,26.27,27.7,75,34,27.778
2026-01-15,GOOGL260116C00307500,2026-01-16,call,307.5,2026-01-15T05:00:00Z,25.28,25.98,24.37,24.77,20,20,24.656
2026-01-15,GOOGL260116C00310000,2026-01-16,call,310.0,2026-01-15T05:00:00Z,26.13,26.13,21.7,22.94,332,90,23.072349
2026-01-15,GOOGL260116C00312500,2026-01-16,call,312.5,2026-01-15T05:00:00Z,22.18,22.18,19.32,20.41,10,7,20.125
2026-01-15,GOOGL260116C00315000,2026-01-16,call,315.0,2026-01-15T05:00:00Z,20.34,21.17,16.1,17.8,147,73,17.51585
2026-01-15,GOOGL260116C00317500,2026-01-16,call,317.5,2026-01-15T05:00:00Z,17.9,18,13.15,15.28,200,40,15.58335
2026-01-15,GOOGL260116C00320000,2026-01-16,call,320.0,2026-01-15T05:00:00Z,17.65,18.5,11.35,12.89,843,181,13.520474
2026-01-15,GOOGL260116C00322500,2026-01-16,call,322.5,2026-01-15T05:00:00Z,15.35,15.35,9.02,10.55,82,49,10.852927
