date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-02-17,MSFT260218C00380000,2026-02-18,call,380.0,2026-02-17T05:00:00Z,19.7,20.5,15.5,17,28,17,17.905357
2026-02-17,MSFT260218C00382500,2026-02-18,call,382.5,2026-02-17T05:00:00Z,17.8,18,13.95,13.95,5,4,16.61
2026-02-17,MSFT260218C00392500,2026-02-18,call,392.5,2026-02-17T05:00:00Z,6.88,8.66,4.85,5.65,795,302,6.240226
2026-02-17,MSFT260218C00417500,2026-02-18,call,417.5,2026-02-17T05:00:00Z,0.21,0.21,0.04,0.05,1498,302,0.114025
2026-02-17,MSFT260218C00435000,2026-02-18,call,435.0,2026-02-17T05:00:00Z,0.04,0.05,0.01,0.01,134,27,0.025373
2026-02-17,MSFT260218P00380000,2026-02-18,put,380.0,2026-02-17T05:00:00Z,0.42,0.6,0.06,0.06,2120,477,0.240755
2026-02-17,MSFT260218C00397500,2026-02-18,call,397.5,2026-02-17T05:00:00Z,5.04,5.2,2.2,2.5,6545,1745,3.20095
2026-02-17,MSFT260218C00452500,2026-02-18,call,452.5,2026-02-17T05:00:00Z,0.01,0.01,0.01,0.01,2,2,0.01
2026-02-17,MSFT260218P00340000,2026-02-18,put,340.0,2026-02-17T05:00:00Z,0.01,0.02,0.01,0.01,313,4,0.019904
2026-02-17,MSFT260218P00407500,2026-02-18,put,407.5,2026-02-17T05:00:00Z,9.6,12.89,8.03,10.92,310,50,9.376161
2026-02-17,MSFT260218P00410000,2026-02-18,put,410.0,2026-02-17T05:00:00Z,11.98,15.05,10.5,13.37,206,57,12.73699
2026-02-17,MSFT260218C00400000,2026-02-18,call,400.0,2026-02-17T05:00:00Z,3.3,3.7,1.35,1.52,13126,3292,2.244118
2026-02-17,MSFT260218C00387500,2026-02-18,call,387.5,2026-02-17T05:00:00Z,11.35,13,8.8,10.35,42,17,10.38
2026-02-17,MSFT260218P00352500,2026-02-18,put,352.5,2026-02-17T05:00:00Z,0.02,0.02,0.01,0.01,53,2,0.010566
2026-02-17,MSFT260218P00405000,2026-02-18,put,405.0,2026-02-17T05:00:00Z,8.8,10.64,6.35,8.16,553,184,8.046311
2026-02-17,MSFT260218C00415000,2026-02-18,call,415.0,2026-02-17T05:00:00Z,0.3,0.31,0.05,0.07,3129,565,0.120304
2026-02-17,MSFT260218C00430000,2026-02-18,call,430.0,2026-02-17T05:00:00Z,0.05,0.06,0.01,0.01,1334,132,0.028148
2026-02-17,MSFT260218P00400000,2026-02-18,put,400.0,2026-02-17T05:00:00Z,4.55,7.1,3.05,4.45,2257,769,4.724869
2026-02-17,MSFT260218P00355000,2026-02-18,put,355.0,2026-02-17T05:00:00Z,0.01,0.01,0.01,0.01,20,2,0.01
2026-02-17,MSFT260218P00345000,2026-02-18,put,345.0,2026-02-17T05:00:00Z,0.02,0.02,0.01,0.01,3,2,0.016667
2026-02-17,MSFT260218P00390000,2026-02-18,put,390.0,2026-02-17T05:00:00Z,1.41,2.24,0.59,0.68,9220,2320,1.402371
2026-02-17,MSFT260218C00390000,2026-02-18,call,390.0,2026-02-17T05:00:00Z,9.6,11.3,6.44,7.7,918,351,8.715664
2026-02-17,MSFT260218C00405000,2026-02-18,call,405.0,2026-02-17T05:00:00Z,1.74,1.77,0.39,0.44,13515,2190,0.89202
2026-02-17,MSFT260218C00412500,2026-02-18,call,412.5,2026-02-17T05:00:00Z,0.44,0.51,0.08,0.08,1620,426,0.217154
2026-02-17,MSFT260218C00420000,2026-02-18,call,420.0,2026-02-17T05:00:00Z,0.16,0.16,0.03,0.03,1891,379,0.060143
2026-02-17,MSFT260218P00370000,2026-02-18,put,370.0,2026-02-17T05:00:00Z,0.13,0.16,0.01,0.01,821,67,0.062984
2026-02-17,MSFT260218P00387500,2026-02-18,put,387.5,2026-02-17T05:00:00Z,1.02,1.62,0.36,0.42,1894,628,0.982144
