date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2008-01-02,252,10,0.95,0.99,10000,2008-01-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",173.47918815896708,225.2781047273727,165.81210944750302,214.7054721675771,137.958959839069,180.69339686464355,144.03757161425256,192.49228918736156,2008-01-11,-148.17480087280273
2008-01-03,252,10,0.95,0.99,10000,2008-01-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",173.4495676365819,225.2781047273727,164.4654233115947,214.7054721675772,138.77147064218383,182.76626958247903,143.47762981086976,191.78980344955067,2008-01-11,-153.91345977783203
2008-01-04,252,10,0.95,0.99,10000,2008-01-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",176.19353345888138,256.528966514617,163.1051342854247,214.70547216757717,150.0434083826254,193.48627774108226,155.54733985895325,203.49793336810995,2008-01-14,-5.815706253051758
2008-01-07,252,10,0.95,0.99,10000,2008-01-17,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",176.017309088801,256.528966514617,161.73110496606103,214.7054721675771,144.1531548239832,188.41045554199493,155.12945071786646,202.69091499384092,2008-01-17,-139.92214202880876
2008-01-08,252,10,0.95,0.99,10000,2008-01-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",212.37192611310462,267.53872202215945,197.30071340118252,220.086327353831,157.46076612827926,199.58360007114956,162.1092451123642,208.99394955063252,2008-01-18,-68.7740707397461
2008-01-09,252,10,0.95,0.99,10000,2008-01-19,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",212.04040743878735,267.53872202215945,195.39898807296768,220.08632735383105,154.64167761191678,199.95851189937883,163.18850298136658,212.60227347567138,2008-01-18,-144.6268653869629
2008-01-10,252,10,0.95,0.99,10000,2008-01-20,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",211.70554009099214,267.5387220221595,198.3029368748318,220.08632735383105,160.15077737383962,206.15942931291278,163.45510267848604,212.35125413636,2008-01-18,-131.74026489257812
2008-01-11,252,10,0.95,0.99,10000,2008-01-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",211.36729024473433,267.5387220221595,199.04005283459472,220.08632735383105,157.72090917975638,201.3866603689818,165.2518117014378,213.3254168920986,2008-01-18,-94.43312644958496
2008-01-14,252,10,0.95,0.99,10000,2008-01-24,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",211.02562373336286,267.5387220221595,198.9667629325228,220.086327353831,159.48296736676556,201.6794021047211,164.7125533289742,214.0276161797774,2008-01-24,-229.2242431640625
2008-01-15,252,10,0.95,0.99,10000,2008-01-25,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",210.6805060451088,267.5387220221594,198.89273272840978,220.08632735383108,162.61719869791318,206.96423212316398,167.73175324270562,216.05441818700203,2008-01-25,-207.9114818572998
