date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2020-01-02,252,10,0.95,0.99,10000,2020-01-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",599.6456995879082,1035.3501548462837,393.99329256109206,562.4273526004862,508.9543107123275,742.6464968429377,529.0136036773674,770.5926674092634,2020-01-10,364.3573760986328
2020-01-03,252,10,0.95,0.99,10000,2020-01-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",596.4959806727985,1020.3421009127977,392.39143073913505,556.3287754087809,552.0211660371069,781.9252740141482,549.5834497509422,787.7391705655277,2020-01-13,808.3021545410156
2020-01-06,252,10,0.95,0.99,10000,2020-01-16,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",595.3288882900348,1020.3421009127977,391.7978791299176,556.3287754087809,510.8079099160319,760.9340363184107,540.2083697611598,779.3655482930086,2020-01-16,788.262939453125
2020-01-07,252,10,0.95,0.99,10000,2020-01-17,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",594.150007095324,1020.342100912798,391.1983320499,556.3287754087809,531.8376807111098,767.4511795013369,552.4601558614044,789.7144994073351,2020-01-17,1066.8033599853516
2020-01-08,252,10,0.95,0.99,10000,2020-01-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",592.9592180097576,1020.3421009127977,390.5927289387711,556.3287754087809,520.0721782325824,759.141020583227,540.90190467596,782.1685731929323,2020-01-17,817.4359130859375
2020-01-09,252,10,0.95,0.99,10000,2020-01-19,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",591.7564007516096,1020.3421009127977,390.07697953561683,543.2137298211763,531.5143258580139,757.8955350519947,526.7922871528649,772.8860777439902,2020-01-17,545.5236053466797
2020-01-10,252,10,0.95,0.99,10000,2020-01-20,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",590.5414338241874,1020.3421009127977,389.89067077678425,543.2137298211761,511.8896734266192,746.8602533150524,525.2012081615485,770.0271511318206,2020-01-17,550.5288696289062
2020-01-13,252,10,0.95,0.99,10000,2020-01-23,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",589.314194503559,1020.342100912798,389.70248011129684,543.2137298211762,524.3731286625037,761.1825650480035,508.4977994510244,757.7863385343887,2020-01-23,284.09950256347656
2020-01-14,252,10,0.95,0.99,10000,2020-01-24,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",588.0745588261565,1020.3421009127977,389.5123885299964,543.2137298211762,530.215844869913,752.4585351986073,531.0176342628262,777.8334172518328,2020-01-24,326.4812469482422
2020-01-15,252,10,0.95,0.99,10000,2020-01-25,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",586.822401576255,1020.342100912798,389.3203768317131,543.2137298211762,528.6194305107928,762.2307782383825,529.2870561422712,775.1039619608434,2020-01-24,296.24122619628906
2020-01-16,252,10,0.95,0.99,10000,2020-01-26,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",585.5575962733242,1020.3421009127977,384.22274787599343,536.463959942361,514.6016335261054,750.3259372739955,516.3386318329932,766.0493848828262,2020-01-24,44.298248291015625
