date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl,historical_1-day-scaled_var_exceeded,historical_1-day-scaled_var_exceed_amount,historical_1-day-scaled_es_exceeded,historical_1-day-scaled_es_exceed_amount,historical_n-day_var_exceeded,historical_n-day_var_exceed_amount,historical_n-day_es_exceeded,historical_n-day_es_exceed_amount,monte_carlo_var_exceeded,monte_carlo_var_exceed_amount,monte_carlo_es_exceeded,monte_carlo_es_exceed_amount,parametric_var_exceeded,parametric_var_exceed_amount,parametric_es_exceeded,parametric_es_exceed_amount
2021-01-04,252,10,0.95,0.99,10000,2021-01-14,1,1,0,['MSFT'],1979.1104383833172,3004.208677319089,1645.7531305870934,2192.1108288679834,2072.1893102624203,2621.3402155667095,2179.8657365778017,2782.397508245873,2021-01-14,-447.0855712890625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-05,252,10,0.95,0.99,10000,2021-01-15,1,1,0,['MSFT'],1958.6624723694972,3004.208677319089,1641.1106315616998,2115.199949416265,2054.4293173519336,2562.8100181129107,2167.91437403413,2767.948004233972,2021-01-15,-502.6092529296875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-06,252,10,0.95,0.99,10000,2021-01-16,1,1,0,['MSFT'],1938.0079612444265,3004.208677319088,1631.64924257144,2115.199949416265,2032.3159742499818,2580.6282638686826,2181.7500657449646,2768.0837211831868,2021-01-15,38.29498291015625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-07,252,10,0.95,0.99,10000,2021-01-17,1,1,0,['MSFT'],1924.3275955379027,2971.7175432567765,1622.09228399542,2115.199949416265,2052.7043229263923,2581.251970918569,2191.6253972220666,2796.6722359252935,2021-01-15,-539.9490356445312,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-08,252,10,0.95,0.99,10000,2021-01-18,1,1,0,['MSFT'],1921.4171932379415,2971.717543256777,1616.6465067246374,2102.410642298496,2077.2367520495254,2597.0950965852867,2180.793855201482,2786.641035431755,2021-01-15,-667.2744750976562,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-11,252,10,0.95,0.99,10000,2021-01-21,1,1,0,['MSFT'],1918.4773929349506,2971.7175432567765,1616.4370127527563,2102.410642298496,2068.3751744610745,2593.094444779764,2176.8722333079363,2774.550653500032,2021-01-21,716.0995483398494,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-12,252,10,0.95,0.99,10000,2021-01-22,1,1,0,['MSFT'],1915.5078976794043,2971.717543256777,1616.2254026801493,2102.410642298496,2088.6417375102837,2598.667114535928,2170.702677028837,2759.4395643608527,2021-01-22,1055.0048828125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-13,252,10,0.95,0.99,10000,2021-01-23,1,1,0,['MSFT'],1912.508407522287,2971.717543256777,1616.0116551320614,2102.4106422984955,2071.169521409859,2603.3205197448297,2162.0117967603724,2751.854541706872,2021-01-22,920.013427734375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-14,252,10,0.95,0.99,10000,2021-01-24,1,1,0,['MSFT'],1909.4786194847945,2971.7175432567765,1615.795748517831,2102.410642298496,2098.010338169761,2593.7980664818692,2162.806310287441,2742.2958812954475,2021-01-22,1237.8570556640625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021-01-15,252,10,0.95,0.99,10000,2021-01-25,1,1,0,['MSFT'],1906.4182275277312,2971.717543256777,1615.5776610287096,2102.4106422984955,2017.4224900194122,2544.420991050119,2153.7438585626455,2729.349699531082,2021-01-25,1616.014099121091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
