date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2008-01-02,252,10,0.95,0.99,10000,2008-01-12,1,1,0,['MSFT'],170.91006919319483,217.26310373629096,122.7852488525108,184.93513052904873,174.2559674722271,224.42531351643814,177.84660282297372,231.3928008151348
2008-01-03,252,10,0.95,0.99,10000,2008-01-13,1,1,0,['MSFT'],168.81398521250048,217.26310373629096,122.72973123961802,184.93513052904873,167.35217832008038,217.4147387284289,176.70265725947343,230.21623351081868
2008-01-04,252,10,0.95,0.99,10000,2008-01-14,1,1,0,['MSFT'],201.9690383124803,228.67294128874602,122.67365284275662,184.9351305290487,177.62215931057654,225.59367088738998,182.2956003384852,235.0075917534955
2008-01-07,252,10,0.95,0.99,10000,2008-01-17,1,1,0,['MSFT'],201.45639620866245,228.67294128874607,122.61700799744209,184.9351305290487,180.21821841920845,227.6759930763907,181.24781695629113,234.07453218512012
2008-01-08,252,10,0.95,0.99,10000,2008-01-18,1,1,0,['MSFT'],214.40744337988036,241.26858291725947,141.66016927547565,194.87201374434616,182.8434513929384,229.1579672080299,188.4012349970489,240.4939090314861
2008-01-09,252,10,0.95,0.99,10000,2008-01-19,1,1,0,['MSFT'],213.59940015125596,241.2685829172594,154.76733725497263,196.26206868264117,179.73880029219274,230.80094200164265,188.40034583000767,242.6141184754698
2008-01-10,252,10,0.95,0.99,10000,2008-01-20,1,1,0,['MSFT'],212.78319486981715,241.2685829172594,166.6200491227725,199.78691911200247,182.78117512336055,232.46915097602397,188.2699118427793,241.96237852116997
2008-01-11,252,10,0.95,0.99,10000,2008-01-21,1,1,0,['MSFT'],211.95874509058604,241.26858291725947,165.52245862709557,199.78691911200247,178.03426710062774,226.57755493949202,189.38367763911722,242.31604625841766
2008-01-14,252,10,0.95,0.99,10000,2008-01-24,1,1,0,['MSFT'],211.12596753580715,241.2685829172594,164.41378135873498,199.78691911200247,185.23654563470228,231.92018549357627,188.13806297390417,241.73719569518158
2008-01-15,252,10,0.95,0.99,10000,2008-01-25,1,1,0,['MSFT'],210.28477808653554,241.26858291725947,163.2939053300879,199.78691911200247,176.06438869103934,224.40564877843772,188.78727682474985,241.67231965382368
