date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2021-01-04,252,10,0.95,0.99,10000,2021-01-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3755.919870094043,6194.788746077054,3420.71350564217,4641.130144094885,4132.358835789215,5284.3918645107115,4304.26240129421,5577.416991269208,2021-01-14,-505.7697296142578
2021-01-05,252,10,0.95,0.99,10000,2021-01-15,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3753.020322856413,6194.7887460770535,3386.6307300358426,4604.24151011301,4082.8627658259225,5196.801720842311,4280.771042915397,5556.5828049719785,2021-01-15,-1104.153747558596
2021-01-06,252,10,0.95,0.99,10000,2021-01-16,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3912.960234608365,6366.39280363668,3383.732477576134,4604.24151011301,4149.168040589084,5269.4337570151365,4330.664804016838,5576.687420904333,2021-01-15,131.17706298827912
2021-01-07,252,10,0.95,0.99,10000,2021-01-17,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3911.8487255521154,6366.392803636681,3380.804949839054,4604.24151011301,4065.4766667707354,5173.839057570172,4351.134581058799,5642.187601352242,2021-01-15,-1230.3912353515648
2021-01-08,252,10,0.95,0.99,10000,2021-01-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3910.7259891316617,6366.39280363668,3377.8478511147314,4604.241510113011,4088.616688175448,5321.253334923345,4329.546879521389,5624.896353254441,2021-01-15,-1592.4539947509788
2021-01-11,252,10,0.95,0.99,10000,2021-01-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3909.5919119392834,6366.39280363668,3374.860882706325,4604.24151011301,4114.434503348652,5262.822039809508,4348.392037520938,5620.046841863054,2021-01-21,2247.5389862060624
2021-01-12,252,10,0.95,0.99,10000,2021-01-22,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3908.44637942173,6366.39280363668,3371.843742899853,4604.24151011301,4067.09160740928,5169.169127740048,4334.7032361734955,5592.336722722167,2021-01-22,3014.7813415527344
2021-01-13,252,10,0.95,0.99,10000,2021-01-23,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3907.2892758686457,6366.39280363668,3368.79612693372,4604.24151011301,4123.6767224786945,5222.211171685273,4316.750833259566,5583.11717551465,2021-01-22,2545.6807708740234
2021-01-14,252,10,0.95,0.99,10000,2021-01-24,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3895.101773243159,5861.760774980072,3365.7177269679296,4604.241510113011,4102.4022932798125,5171.136583927705,4325.898427513706,5571.037817691394,2021-01-22,3200.9564208984357
2021-01-15,252,10,0.95,0.99,10000,2021-01-25,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3855.4954802919365,5861.760774980072,3362.608232052989,4604.24151011301,3961.534260216077,5077.627863633672,4316.703497048577,5547.310700209309,2021-01-25,4413.898849487305
2021-01-19,252,10,0.95,0.99,10000,2021-01-29,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3815.48912377555,5861.760774980071,3359.467328098504,4604.24151011301,4075.1784972985524,5172.370564563289,4295.313391055858,5538.64056492322,2021-01-29,2215.9159851074246
2021-01-20,252,10,0.95,0.99,10000,2021-01-30,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3795.47098549805,5807.148754600368,3356.2946978414484,4604.24151011301,4066.1646791432345,5201.86488106665,4324.2761778909735,5625.490208913075,2021-01-29,562.4539184570312
2021-01-21,252,10,0.95,0.99,10000,2021-01-31,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3787.949017969154,5807.148754600369,3353.0900208141197,4604.24151011301,4170.361914968785,5335.852848156959,4312.70173965342,5634.67367123149,2021-01-29,-216.0577392578125
2021-01-22,252,10,0.95,0.99,10000,2021-02-01,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3780.351070970269,5807.14875460037,3349.852973311767,4604.241510113009,4111.770114085198,5292.701541613058,4288.4764876484005,5617.596124683521,2021-02-01,593.8929748535156
2021-01-25,252,10,0.95,0.99,10000,2021-02-04,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3776.1822127952532,5750.547143251205,3346.425348274725,4452.946359384468,4018.0969612072454,5271.738743091416,4261.640109170138,5614.523286430881,2021-02-04,862.1903991699246
2021-01-26,252,10,0.95,0.99,10000,2021-02-05,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3772.8445883773716,5750.547143251205,3342.485212180953,4452.9463593844675,4071.587896799558,5307.190056631969,4246.993429674486,5601.977743406585,2021-02-05,579.2674255371113
2021-01-27,252,10,0.95,0.99,10000,2021-02-06,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3769.4732505815305,5750.547143251205,3338.505276732699,4452.946359384468,4057.134454035975,5267.895841571454,4256.013070385882,5596.332287701265,2021-02-05,950.0125122070312
2021-01-28,252,10,0.95,0.99,10000,2021-02-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3766.0678588685605,5750.547143251204,3330.1447272566684,4426.699586785309,3990.3388077573463,5176.877584106752,4239.879067782672,5568.570105490178,2021-02-05,995.8253479003926
2021-01-29,252,10,0.95,0.99,10000,2021-02-08,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3921.8411215221995,5983.3856956304735,3321.0987855325566,4426.699586785308,4085.1566119437175,5287.940566504786,4304.738347048953,5601.709012724944,2021-02-08,2523.295135498044
2021-02-01,252,10,0.95,0.99,10000,2021-02-11,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3920.5357026347533,5983.385695630475,3305.2325744060254,4402.425305993662,4086.5506640132444,5297.456759196643,4305.006177578282,5638.493653287892,2021-02-11,1219.4779968261719
2021-02-02,252,10,0.95,0.99,10000,2021-02-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3919.21709769794,5983.3856956304735,3285.9640201214265,4402.425305993661,4112.013583609777,5325.773136511071,4291.817116272839,5623.055452415875,2021-02-12,1132.978210449216
2021-02-03,252,10,0.95,0.99,10000,2021-02-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3917.8851735193402,5983.3856956304735,3266.5008339753663,4402.425305993662,4025.5618540950672,5172.883335747645,4258.718874399285,5598.364949024216,2021-02-12,536.1936950683573
2021-02-04,252,10,0.95,0.99,10000,2021-02-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3916.539795561159,5983.385695630472,3246.8410499894476,4402.425305993661,4044.6308930023006,5183.651643644343,4246.945250833041,5592.486363101418,2021-02-12,143.30154418945114
2021-02-05,252,10,0.95,0.99,10000,2021-02-15,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3915.180827926632,5983.3856956304735,3226.982682326903,4402.425305993661,3916.6864697800825,5081.775870398998,4224.042508218623,5563.700987978693,2021-02-12,82.47390747070199
2021-02-08,252,10,0.95,0.99,10000,2021-02-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3913.8081333463015,5983.3856956304735,3206.92372509201,4402.425305993662,3960.7288949193326,5113.212744629059,4213.924920204052,5547.655797694131,2021-02-18,-808.4459686279297
2021-02-09,252,10,0.95,0.99,10000,2021-02-19,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3912.4215731641493,5983.3856956304735,3186.662152127471,4402.425305993661,3991.8203569038074,5309.221697548816,4191.9350723890875,5517.501680677535,2021-02-19,-1072.0571136474603
2021-02-10,252,10,0.95,0.99,10000,2021-02-20,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3911.0210073235926,5983.3856956304735,3166.195916809755,4402.425305993661,3995.5130851756708,5178.828241393404,4183.989637741419,5498.959003986611,2021-02-19,-923.5179901123076
2021-02-11,252,10,0.95,0.99,10000,2021-02-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3909.606294353332,5983.3856956304735,3151.3472543643516,4301.668721761185,3807.5669656129953,5015.8943541447625,4161.321742504954,5472.7271338433875,2021-02-19,-1052.1675872802757
2021-02-12,252,10,0.95,0.99,10000,2021-02-22,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3908.17729135307,5983.3856956304735,3148.9941057491837,4301.668721761184,3908.579772625454,5105.484919685654,4144.733712468081,5452.196393755428,2021-02-22,-2441.854705810547
2021-02-16,252,10,0.95,0.99,10000,2021-02-26,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3906.733853979067,5983.3856956304735,3146.6171879560848,4301.668721761184,3885.0414387856977,5004.177300184589,4140.302603936931,5431.562280037212,2021-02-26,-3039.6412658691415
2021-02-17,252,10,0.95,0.99,10000,2021-02-27,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",3866.765802151578,5640.044607410737,3144.216260892348,4301.668721761184,3992.4749348297173,5129.283578714498,4130.793473689656,5409.356729868051,2021-02-26,-2821.585464477538
