date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2026-01-02,100,10,0.95,0.99,10000,2026-01-12,3,1,2,['AAPL'],1331.387351952313,1868.3954727677663,941.8077811488278,1105.8099937341544,1227.4193168256743,1630.697095732656,1269.3418466992694,1683.2692572401081
2026-01-05,100,10,0.95,0.99,10000,2026-01-15,3,1,2,['AAPL'],1330.0107624784196,1868.776076070769,939.5702580419087,1106.050334242305,1302.6808123302314,1672.5254436552286,1344.726057090593,1754.4961968392843
2026-01-06,100,10,0.95,0.99,10000,2026-01-16,3,1,2,['AAPL'],1416.948372154124,1861.9899317082375,1039.4693748310417,1162.128352344861,1379.1624128465025,1759.9734888294438,1421.7007613116673,1830.6340232779328
2026-01-07,100,10,0.95,0.99,10000,2026-01-17,3,1,2,['AAPL'],1413.2233398372434,1862.1519697209571,1093.8134502869866,1162.2243577852664,1386.4103451518215,1760.827302228217,1434.0252137998457,1839.1423795069054
2026-01-08,100,10,0.95,0.99,10000,2026-01-18,3,1,2,['AAPL'],1409.2572333090498,1862.052793955987,1136.6675849928167,1234.8407996245396,1370.0277386484763,1763.0290534641017,1438.4980291770746,1840.1565650400069
2026-01-09,100,10,0.95,0.99,10000,2026-01-19,3,1,2,['AAPL'],1405.4392527255764,1862.2026965368946,1193.6519300531018,1330.3332797575265,1399.565305743644,1771.0884215486662,1426.5034840720716,1826.668844456256
2026-01-12,100,10,0.95,0.99,10000,2026-01-22,3,1,2,['AAPL'],1401.463516903786,1862.1959736548886,1285.5139032910895,1353.2893036081473,1314.0386338874257,1691.6404812312162,1367.2191463687866,1763.2639988227777
2026-01-13,100,10,0.95,0.99,10000,2026-01-23,3,1,2,['AAPL'],1352.4286350729283,1820.8173225123915,1295.0851500841904,1353.2177781204707,1314.4056648617825,1691.0183639668362,1344.6898950256402,1739.7675003220254
2026-01-14,100,10,0.95,0.99,10000,2026-01-24,3,1,2,['AAPL'],1350.750133544045,1820.9386527435388,1304.3809591759052,1353.3100165301453,1335.621892635305,1721.5624231120012,1367.1199844031958,1757.9399096446182
2026-01-15,100,10,0.95,0.99,10000,2026-01-25,3,1,2,['AAPL'],1349.0438322179812,1821.0425559092157,1317.3244999173005,1369.7111209334776,1343.5942984327426,1721.8793633966106,1380.1794357832116,1767.631112164651
2026-01-16,100,10,0.95,0.99,10000,2026-01-26,3,1,2,['AAPL'],1347.4252738492205,1821.2849712022717,1346.5995308220017,1441.9260038622504,1362.62246962297,1720.8768220273237,1424.0052220883776,1807.6336965560872
2026-01-20,100,10,0.95,0.99,10000,2026-01-30,3,1,2,['AAPL'],1543.4940855363661,2390.1038871860696,1414.3590117404283,1674.9074009993046,1577.7834152010887,1936.2582625681694,1617.610434127315,2012.897789670041
2026-01-21,100,10,0.95,0.99,10000,2026-01-31,3,1,2,['AAPL'],1543.0587084390397,2390.2234050254547,1453.8570539864681,1678.105548497583,1574.8436550916476,1932.333824609762,1612.1729498322418,2006.7105714007776
2026-01-22,100,10,0.95,0.99,10000,2026-02-01,3,1,2,['AAPL'],1542.572524454755,2390.2752488763545,1452.9853522069573,1678.1260833830052,1522.7862040313514,1876.649318447261,1595.405204122346,1989.2580425577594
2026-01-23,100,10,0.95,0.99,10000,2026-02-02,3,1,2,['AAPL'],1542.008912748534,2390.202303361998,1452.0564258468082,1678.0916558166275,1512.5841875982812,1887.4843058006945,1571.6719615395527,1962.228579644686
2026-01-26,100,10,0.95,0.99,10000,2026-02-05,3,1,2,['AAPL'],1541.2564792905143,2389.987500308194,1450.987906120486,1677.9416438256492,1515.0593102337473,1878.901812490322,1577.2792515562626,1984.8677030928059
2026-01-27,100,10,0.95,0.99,10000,2026-02-06,3,1,2,['AAPL'],1540.5962810905974,2389.844936175681,1449.96325952608,1677.833391488906,1506.2599539099895,1896.3992460608827,1559.4674160924053,1971.9403560954809
2026-01-28,100,10,0.95,0.99,10000,2026-02-07,3,1,2,['AAPL'],1540.1456579136566,2389.9346874243133,1449.105571727859,1677.903649845267,1544.4445341756123,1914.2229988309298,1573.7912505000106,1982.479905068512
2026-01-29,100,10,0.95,0.99,10000,2026-02-08,3,1,2,['AAPL'],1539.449807456532,2389.7208673425725,1448.0204626038214,1677.7424555982584,1475.3541927315393,1867.3401649667542,1538.9373966835058,1949.0204261749004
2026-01-30,100,10,0.95,0.99,10000,2026-02-09,3,1,2,['AAPL'],1538.9502800761234,2389.8340599560806,1447.1603328158524,1677.851407188516,1443.1897893946045,1823.5438093238627,1491.200261955867,1899.5904499815294
2026-02-02,100,10,0.95,0.99,10000,2026-02-12,3,1,2,['AAPL'],1537.7995068987643,2389.251894194587,1445.7266585181544,1677.3853683758894,1380.7980018170103,1781.9829386816696,1421.9761004406987,1869.6482036604345
2026-02-03,100,10,0.95,0.99,10000,2026-02-13,3,1,2,['AAPL'],1392.3869643662367,2138.9093265317615,1444.7449822030085,1677.3637867211592,1365.014742122369,1777.4527434772315,1439.7362564886048,1883.1251693546042
2026-02-04,100,10,0.95,0.99,10000,2026-02-14,3,1,2,['AAPL'],1379.9623250204324,2138.255058621989,1443.203115540183,1676.7584808097322,1398.9725944106845,1831.3142827439922,1431.766816637515,1895.5846676370634
2026-02-05,100,10,0.95,0.99,10000,2026-02-15,3,1,2,['AAPL'],1367.8596441435923,2138.130124982241,1442.1670948377955,1676.6903384689285,1403.0852802478862,1828.2486959442588,1448.4611121219498,1908.4406446552673
2026-02-06,100,10,0.95,0.99,10000,2026-02-16,3,1,2,['AAPL'],1355.631745198728,2138.1059737364467,1441.0989668043132,1676.6419065635844,1382.407522241581,1801.4690110411238,1432.6848688662812,1894.8141835074255
2026-02-09,100,10,0.95,0.99,10000,2026-02-19,3,1,2,['AAPL'],1351.2845825238533,2019.7848190223483,1440.3918115785152,1676.981293987205,1422.30868499129,1860.723577781191,1482.2644583519154,1940.575020833589
