date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl,historical_1-day-scaled_var_exceeded,historical_1-day-scaled_var_exceed_amount,historical_1-day-scaled_es_exceeded,historical_1-day-scaled_es_exceed_amount,historical_n-day_var_exceeded,historical_n-day_var_exceed_amount,historical_n-day_es_exceeded,historical_n-day_es_exceed_amount,monte_carlo_var_exceeded,monte_carlo_var_exceed_amount,monte_carlo_es_exceeded,monte_carlo_es_exceed_amount,parametric_var_exceeded,parametric_var_exceed_amount,parametric_es_exceeded,parametric_es_exceed_amount
2026-01-02,100,10,0.95,0.99,10000,2026-01-12,2,1,1,['AAPL'],1331.620585255048,1868.842209176951,941.7613235616435,1105.8531131504571,1216.910752834423,1622.1854454337576,1269.7265197208367,1683.7346618862914,2026-01-12,-1067.4609549057684,0,0.0,0,0.0,1,125.6996313441249,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-05,100,10,0.95,0.99,10000,2026-01-15,2,1,1,['AAPL'],1330.353179823644,1869.3956818444028,939.5971140128197,1106.192726326132,1270.9976550313174,1659.1944389371592,1345.2540003392864,1755.1351964590235,2026-01-15,-897.5876114331572,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-06,100,10,0.95,0.99,10000,2026-01-16,2,1,1,['AAPL'],1417.644515979211,1863.330660097868,1039.8038123386395,1162.6142008679865,1365.7566137013794,1749.3733165327028,1422.5915588386072,1831.723968895361,2026-01-16,-676.8535361919786,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-07,100,10,0.95,0.99,10000,2026-01-17,2,1,1,['AAPL'],1414.0113423896069,1863.6338091866098,1094.1370152449806,1162.8206055769997,1388.9199943177377,1769.2285649258536,1435.022207674278,1840.3579344412603,2026-01-16,-475.66617867753587,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-08,100,10,0.95,0.99,10000,2026-01-18,2,1,1,['AAPL'],1410.281942466752,1863.8572403349503,1137.412524649173,1235.8541738342117,1407.3510402159789,1782.6173801873135,1439.7537716564243,1841.7001498710142,2026-01-16,-347.51963157049613,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-09,100,10,0.95,0.99,10000,2026-01-19,2,1,1,['AAPL'],1406.282758181578,1863.7713456888466,1194.3067989168203,1331.1939294968283,1383.4978120087906,1745.681013293009,1427.5606523951005,1827.9585998075179,2026-01-16,-380.7474060834205,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-12,100,10,0.95,0.99,10000,2026-01-22,2,1,1,['AAPL'],1402.2237745645596,1863.6501030163702,1286.0571320241274,1354.0164252237828,1334.419031032319,1725.9435684449877,1368.1563777010779,1764.411281094198,2026-01-22,-1180.8843312215176,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-13,100,10,0.95,0.99,10000,2026-01-23,2,1,1,['AAPL'],1353.1536969009198,1822.2101114671439,1295.702036057645,1353.908769052669,1334.4915633244527,1691.822395980982,1345.6156055126578,1740.906770663782,2026-01-23,-1291.3919238054402,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-14,100,10,0.95,0.99,10000,2026-01-24,2,1,1,['AAPL'],1351.476995123212,1822.3442675072868,1304.9629598910205,1354.0379267573921,1316.51762009022,1698.8973633061037,1368.0611679951187,1759.090433077481,2026-01-23,-1183.7434584744708,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-15,100,10,0.95,0.99,10000,2026-01-25,2,1,1,['AAPL'],1349.9052662709323,1822.6450145143267,1318.4880136555917,1370.7188808602205,1349.241467689277,1703.8236642789207,1381.273396088995,1768.9701983812183,2026-01-23,-1009.9309509325274,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
