date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2026-01-02,100,10,0.95,0.99,10000,2026-01-12,2,0,2,"['AAPL', 'MSFT']",25.40851698659691,30.433465793432852,17.755922408402366,18.51241936145908,20.89278481073507,28.151708945525524,19.344548426214658,27.361216881290538,2026-01-12,-23.53417869845009
2026-01-05,100,10,0.95,0.99,10000,2026-01-15,2,0,2,"['AAPL', 'MSFT']",26.847142902723252,31.363581123250075,17.21823905944063,18.01550942172753,22.434566681647695,29.310437994497427,20.241539181065622,28.007158468901086,2026-01-15,4.638612410319354
2026-01-06,100,10,0.95,0.99,10000,2026-01-16,2,0,2,"['AAPL', 'MSFT']",26.0646327463872,29.783955506824814,16.430021101594907,17.193003586059437,23.735447418570182,30.236690977129612,21.528308213749185,29.058412529310708,2026-01-16,2.6773945851014673
2026-01-07,100,10,0.95,0.99,10000,2026-01-17,2,0,2,"['AAPL', 'MSFT']",25.852937837660622,31.427665692922346,16.167739707769385,17.858830068376903,23.54853383675676,29.527716485252636,21.897900098065584,29.2080855046401,2026-01-16,13.56123257990788
2026-01-08,100,10,0.95,0.99,10000,2026-01-18,2,0,2,"['AAPL', 'MSFT']",25.7851797032182,31.924338337789823,16.463195114089835,17.901965322508424,23.47773010633096,29.53767942477717,21.949196804062638,29.350728758183944,2026-01-16,6.185686204869057
2026-01-09,100,10,0.95,0.99,10000,2026-01-19,2,0,2,"['AAPL', 'MSFT']",25.8263291867361,31.838196451870793,16.46073652206518,17.88733803508496,23.954799715081062,30.06837466072051,22.141049669816095,29.48366840973565,2026-01-16,9.095911162955929
2026-01-12,100,10,0.95,0.99,10000,2026-01-22,2,0,2,"['AAPL', 'MSFT']",25.974027727780385,33.07278767726775,16.651378265589436,18.008195554325763,24.001042979437116,30.192180858639798,21.7057070377967,29.11627064783647,2026-01-22,12.731098360353712
2026-01-13,100,10,0.95,0.99,10000,2026-01-23,2,0,2,"['AAPL', 'MSFT']",27.154604473821585,34.37077881198258,16.870926063458064,18.59525752631331,23.751938856419684,29.95272116072965,21.641320754287957,29.340578354494614,2026-01-23,-15.919372969804641
2026-01-14,100,10,0.95,0.99,10000,2026-01-24,2,0,2,"['AAPL', 'MSFT']",29.085208670927077,36.36939867129379,17.250708590599427,18.52665441741543,24.14426172227158,31.223374534695324,21.67382422488364,29.809337868976037,2026-01-23,-23.283864215819705
2026-01-15,100,10,0.95,0.99,10000,2026-01-25,2,0,2,"['AAPL', 'MSFT']",28.68617396330919,36.658151115419976,17.67474219489122,18.566531187092295,25.213395349301397,31.97611622103832,21.67335654065925,29.78760126534865,2026-01-23,-23.53692939444747
2026-01-16,100,10,0.95,0.99,10000,2026-01-26,2,0,2,"['AAPL', 'MSFT']",32.09089992322557,36.00940391308099,17.169606410406132,18.022775758876136,25.08776476914197,32.08150065851481,22.584168082098046,30.551810355828884,2026-01-26,-6.479897301956612
2026-01-20,100,10,0.95,0.99,10000,2026-01-30,2,0,2,"['AAPL', 'MSFT']",32.0817949945455,35.009851208291984,16.615326172604043,18.31353023218596,25.20384383672588,31.572868913892634,22.373495877488253,30.150342248799987,2026-01-30,44.4297327738704
2026-01-21,100,10,0.95,0.99,10000,2026-01-31,2,0,2,"['AAPL', 'MSFT']",32.831873645172045,36.66459727386549,17.6452675745995,19.680022591737035,24.586570659813646,32.0192357174375,22.361880004954088,30.72625132127358,2026-01-30,30.82411643602424
2026-01-22,100,10,0.95,0.99,10000,2026-02-01,2,0,2,"['AAPL', 'MSFT']",32.67808516086137,35.66608210317046,16.979808079000705,18.82476386918035,25.72977884075058,32.74578771328497,23.25894950080319,31.457193990222564,2026-01-30,38.9285206778585
2026-01-23,100,10,0.95,0.99,10000,2026-02-02,2,0,2,"['AAPL', 'MSFT']",32.34088055888211,41.627003569653354,16.217497161814705,17.030977384137163,26.929871698862037,33.18616500752953,25.060316948451252,33.03924799379857,2026-02-02,69.91121708056622
2026-01-26,100,10,0.95,0.99,10000,2026-02-05,2,0,2,"['AAPL', 'MSFT']",33.7269601995956,40.03629415855276,16.05020223279577,17.533769202991685,27.755671207384122,34.590335731249255,25.353660352804173,33.39330193572388,2026-02-05,133.68661253683274
2026-01-27,100,10,0.95,0.99,10000,2026-02-06,2,0,2,"['AAPL', 'MSFT']",32.39887878622296,37.6988865277647,16.36215727846888,17.495576363469628,27.238739725980167,33.267336207411255,25.250418308336737,33.02329780865033,2026-02-06,132.9186224460139
2026-01-28,100,10,0.95,0.99,10000,2026-02-07,2,0,2,"['AAPL', 'MSFT']",32.10338737257223,37.42277535625713,16.085188061033147,17.319324843954483,27.917757180664424,33.96596172514882,25.720594976280957,33.29759995958847,2026-02-06,133.35241002439403
2026-01-29,100,10,0.95,0.99,10000,2026-02-08,2,0,2,"['AAPL', 'MSFT']",37.754666625091396,47.9750137943229,18.928822604169405,21.357107725783134,40.166679556155394,51.07650585301743,36.89248552013625,50.03629733295681,2026-02-06,75.64861741783534
2026-01-30,100,10,0.95,0.99,10000,2026-02-09,2,0,2,"['AAPL', 'MSFT']",38.44937270266921,48.39532897789016,19.36965761894075,21.308335543718318,40.53751969982485,51.529018935069864,37.10350222724513,50.73472654038412,2026-02-09,49.055607184320024
2026-02-02,100,10,0.95,0.99,10000,2026-02-12,2,0,2,"['AAPL', 'MSFT']",41.97523046919059,52.62630597533478,20.624453384138754,22.793447746241796,40.73016719249771,52.968859411222674,37.59641904649151,52.974930550772754,2026-02-12,29.315362327446337
